tuto.mecanisme.souris.3,"Drag the component to the desired position, then release.","Déplacez l'élément jusqu'à la position désirée, puis relâchez.",将部件拖到目标位置，然后松开鼠标左键。,拖曳組件到所需位置，然後放開。
tuto.mecanisme.pad.1,The components of some devices or mechanisms can be manipulated.,Les éléments de certains appareils ou mécanismes peuvent être manipulés.,某些设备或者机关的部件可以操作。,有些機關或裝置的組件是可以操縱的。
tuto.mecanisme.pad.2.xbox,"Select a component with the left stick, then hold the Action button to grab it.",Sélectionnez un élément avec le stick analogique gauche puis maintenez la touche d'Action pour le saisir.,使用左摇杆选中部件，然后长按行动按钮抓住部件。,用左搖桿選擇組件，然後長按「操作」按鍵抓取。
,"Select a component with the Left Stick, then hold the Action Button to grab it.",Sélectionnez un élément avec le stick gauche puis maintenez le bouton d'Action pour le saisir.,使用L摇杆选中部件，然后长按行动键抓住部件。,用L操控搖桿選擇組件，然後長按「操作」鍵抓取。
,"Select a component with the left stick, then hold the Interaction button to grab it.",Sélectionnez un élément avec le joystick gauche puis maintenez la touche d'Interaction pour le saisir.,使用左摇杆选中部件，然后长按互动按键抓住部件。,用左操作桿選擇組件，然後長按「互動」按鈕抓取。
tuto.mecanisme.pad.3.xbox,"While holding down the button, move the component with the left stick to the desired position, then release.","Tout en maintenant la touche pressée, déplacez l'élément avec le stick analogique gauche jusqu'à la position désirée, puis relâchez.",长按按钮的同时，使用左摇杆将部件移到目标位置，然后松开按钮。,按住按鍵的同時，用左搖桿移動組件到所需位置，然後再放開。
,"While holding down the Button, move the component with the Left Stick to the desired position, then release.","Tout en maintenant le bouton pressé, déplacez l'élément avec le stick gauche jusqu'à la position désirée, puis relâchez.",长按按键的同时，使用L摇杆将部件移到目标位置，然后松开按键。,按住按鍵的同時，用L操控搖桿移動組件到所需位置，然後再放開。
,"While holding down the button, move the component with the left stick to the desired position, then release.","Tout en maintenant la touche pressée, déplacez l'élément avec le joystick gauche jusqu'à la position désirée, puis relâchez.",长按按键的同时，使用左操作杆将部件移到目标位置，然后松开按键。,按住按鈕的同時，用左操作桿移動組件到所需位置，然後再放開。
abbaye.i10.cles,Keys,Clés,钥匙,鑰匙
abbaye.i10.instruments,Instruments,Instruments,乐器,樂器
abbaye.i10.potions,Potions,Potions,药水,藥水
abbaye.i10.potions,Potions,Potions,药水,藥水
abbaye.i10.vases,Vases,Vases,瓶子,陶器
abbaye.i11.tympan,God's not dead!,Dieu n'est pas mort !,神未死！,天神不死！
abbaye.i14.noteprecheur.1,I found the Lens.,J'ai trouvé la Loupe.,我寻得透镜。,我找到透鏡。
abbaye.i14.noteprecheur.1,I found the Lens.,J'ai trouvé la Loupe.,我寻得透镜。,我找到透鏡。
abbaye.i14.noteprecheur.2,The Lens found God!,La Loupe a trouvé Dieu !,透镜寻得神！,透鏡找到天神！
abbaye.i14.noteprecheur.2,The Lens found God!,La Loupe a trouvé Dieu !,透镜寻得神！,透鏡找到天神！
abbaye.i14.noteprecheur.3,I'm going to the Cemetery.,Je vais au Cimetière.,我将往墓园。,我要去墓園。
abbaye.i14.noteprecheur.3,I'm going to the Cemetery.,Je vais au Cimetière.,我将往墓园。,我要去墓園。
abbaye.i14.noteprecheur.4,I'm going up!,Je vais en haut !,我将往上！,我要到上面去！
abbaye.i14.noteprecheur.4,I'm going up!,Je vais en haut !,我将往上！,我要到上面去！
abbaye.i14.noteprecheur.5,The Preacher,Le Prêcheur,教士,傳道者
abbaye.i14.noteprecheur.5,The Preacher,Le Prêcheur,教士,傳道者
abbaye.i15.chapel.1,The Man looks at the Devotee.,L'Homme regarde le Dévot.,世人望信徒。,人看向朝覲者。
abbaye.i15.chapel.1,The Man looks at the Devotee.,L'Homme regarde le Dévot.,世人望信徒。,人看向朝覲者。
abbaye.i16.chapel.2,The Devotee looks at God.,Le Dévot regarde Dieu.,信徒望神。,朝覲者看向天神。
abbaye.i16.chapel.2,The Devotee looks at God.,Le Dévot regarde Dieu.,信徒望神。,朝覲者看向天神。
abbaye.i17.chapel.3,The Preacher talks to the Man.,Le Prêcheur parle à l'Homme.,教士语世人。,傳道者對著世人說話。
abbaye.i17.chapel.3,The Preacher talks to the Man.,Le Prêcheur parle à l'Homme.,教士语世人。,傳道者對著世人說話。
abbaye.i18.chapel.4,God looks at the Instrument.,Dieu regarde l'Instrument.,神望乐器。,天神看向樂器。
abbaye.i18.chapel.4,God looks at the Instrument.,Dieu regarde l'Instrument.,神望乐器。,天神看向樂器。
abbaye.i19.stele.1,You're seeking God?,Vous cherchez Dieu ?,你在寻神？,你在尋覓天神？
abbaye.i19.stele.2,The Church will help you.,L’Église vous aidera.,教会可助你。,教堂能幫助你。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.close,Close door.,Fermer la porte.,闭门。,關門。
abbaye.i1.open,Open door.,Ouvrir la porte.,开门。,開門。
abbaye.i20.piece.1,God loves Men.,Dieu aime les hommes.,神爱世人。,天神愛眾人。
abbaye.i20.piece.2,Devotees seek God.,Les dévots cherchent Dieu.,信徒寻神。,朝覲者尋覓天神。
abbaye.i2.note,"Open, open, closed, open, closed, open.","Ouvert, ouvert, fermé, ouvert, fermé, ouvert.",开，开，闭，开，闭，开。,開，開，關，開，關，開。
abbaye.i3.basrelief.1a,Men [unreadable],Les Hommes [illisible],世人[看不到字符],眾人 [無法辨識]
abbaye.i3.basrelief.1b,'[unreadable] plants dying.','[illisible] les plantes meurent.','[看不到字符]植物亡。','[無法辨識] 植物 瀕臨死亡。'
abbaye.i3.basrelief.2,God speaking to men.,Dieu parlant aux hommes.,神语世人。,天神對眾人說話。
abbaye.i3.basrelief.2,God speaking to men.,Dieu parlant aux hommes.,神语世人。,天神對眾人說話。
abbaye.i3.basrelief.3a,Men [unreadable],Les Hommes [illisible],世人[看不到字符],眾人 [無法辨識]
abbaye.i3.basrelief.3a,Men [unreadable],Les Hommes [illisible],世人[看不到字符],眾人 [無法辨識]
abbaye.i3.basrelief.3b,'[unreadable] Devotees.','[illisible] Dévots.','[看不到字符]信徒。','[無法辨識] 朝覲者。'
abbaye.i3.basrelief.3b,'[unreadable] Devotees.','[illisible] Dévots.','[看不到字符]信徒。','[無法辨識] 朝覲者。'
abbaye.i3.basrelief.4a,Devotees seeking God [unreadable],Les Dévots cherchant Dieu [illisible],信徒寻神[看不到字符],朝覲者 尋覓 天神 [無法辨識]
abbaye.i3.basrelief.4a,Devotees seeking God [unreadable],Les Dévots cherchant Dieu [illisible],信徒寻神[看不到字符],朝覲者 尋覓 天神 [無法辨識]
abbaye.i3.basrelief.4b,'[unreadable] up.','[illisible] en haut.','[看不到字符]在上。','[無法辨識] 上去。'
abbaye.i3.basrelief.4b,'[unreadable] up.','[illisible] en haut.','[看不到字符]在上。','[無法辨識] 上去。'
abbaye.i3.basrelief.5,Warriors closing the door.,Les Guerriers fermant la porte.,战士闭门。,戰士把門關上。
abbaye.i3.basrelief.5,Warriors closing the door.,Les Guerriers fermant la porte.,战士闭门。,戰士把門關上。
abbaye.i5.oeildieu,God sees us.,Dieu nous voit.,神见你我。,天神看著我們。
abbaye.i6.bouchedieu,God talks to us.,Dieu nous parle.,神语你我。,天神對我們說話。
abbaye.i7.maindieu,God loves us.,Dieu nous aime.,神爱你我。,天神愛我們。
alchimiste.1,ME,MOI,我,我
alchimiste.2,YOU,TOI,你,你
alchimiste.3,ALCHEMIST,ALCHIMISTE,炼金术师,煉金術士
alchimiste.4,BARD,BARDE,诗人,吟遊詩人
alchimiste.5,WARRIOR,GUERRIER,战士,戰士
alchimiste.6,FAIRY,FÉE,精灵,精靈
alchimiste.7,MONSTER,MONSTRE,怪物,怪物
alchimiste.8,BROTHER,FRÈRE,同胞,同胞
alchimiste.9,TRANSFORM/TRANSFORMATION,TRANSFORMER/TRANSFORMATION,转化/变换/变态,質變/變化
alchimiste.10,FIND,TROUVER,发现/找到,找
alchimiste.11,CLOSE,FERMER/FERMÉ,关,關
alchimiste.12,OPEN,OUVRIR/OUVERT,开,開
alchimiste.13,HELP,AIDER,救/助,幫忙/協助
alchimiste.14,MAKE,FAIRE/FABRIQUER,作/造,製作
alchimiste.15,SEEK/WANT,CHERCHER/VOULOIR,寻找/希望,尋覓/想要
alchimiste.16,MINE,MINE,矿场,礦場
alchimiste.17,LIBRARY,BIBLIOTHÈQUE,图书馆,圖書館
alchimiste.18,LABORATORY,LABORATOIRE,实验室,實驗室
alchimiste.19,REFECTORY,RÉFECTOIRE,餐厅,食堂
alchimiste.20,COPPER,CUIVRE,铜,銅
alchimiste.21,GOLD,OR,金,金
alchimiste.22,SILVER,ARGENT,银,銀
alchimiste.23,CARBON,CARBONE,碳,碳
alchimiste.24,PLURAL,PLURIEL,复数,（們）
alchimiste.25,NOT,PAS,否定,不/否/非
alchimiste.26,FIRE,FEU,火,火
alchimiste.27,FEAR,PEUR,怕,恐懼/害怕
alchimiste.28,DOOR,PORTE,门,門
alchimiste.29,DEATH/DEAD,MORT,死亡,死亡
alchimiste.30,FORMULA,FORMULE,配方,煉金配方
alchimiste.31,PLANT,PLANTE,植物,植物
alchimiste.32,BOOK,LIVRE,书,書本
alchimiste.33,0,0,0,0
alchimiste.34,1,1,1,1
alchimiste.35,2,2,2,2
alchimiste.36,3,3,3,3
alchimiste.37,4,4,4,4
alchimiste.38,5,5,5,5
alchimiste.39,6,6,6,6
alchimiste.40,7,7,7,7
alchimiste.41,8,8,8,8
alchimiste.42,9,9,9,9
devot.27,ABBEY,ABBAYE,修院,隱修院
devot.27,ABBEY,ABBAYE,修院,隱修院
devot.27,ABBEY,ABBAYE,修院,隱修院
devot.17,HELP,AIDER,救/助,幫忙/協助
devot.17,HELP,AIDER,救/助,幫忙/協助
devot.9,LOVE/LIKE,AIMER,喜/爱,喜歡/愛
devot.9,LOVE/LIKE,AIMER,喜/爱,喜歡/愛
devot.13,GO/PASS,ALLER/PASSER,过/走/去,前進/通過
devot.16,SEEK/WANT,CHERCHER/VOULOIR,寻/欲,尋覓/想要
devot.16,SEEK/WANT,CHERCHER/VOULOIR,寻/欲,尋覓/想要
devot.26,CEMETERY,CIMETIÈRE,墓园,墓園
devot.26,CEMETERY,CIMETIÈRE,墓园,墓園
devot.26,CEMETERY,CIMETIÈRE,墓园,墓園
devot.18,KEY,CLÉ,钥匙,鑰匙
devot.18,KEY,CLÉ,钥匙,鑰匙
devot.6,DEVOTEE,DÉVOT,信徒,朝覲者
devot.6,DEVOTEE,DÉVOT,信徒,朝覲者
devot.6,DEVOTEE,DÉVOT,信徒,朝覲者
devot.6,DEVOTEE,DÉVOT,信徒,朝覲者
devot.1,GOD,DIEU,神,天神
devot.1,GOD,DIEU,神,天神
devot.1,GOD,DIEU,神,天神
devot.1,GOD,DIEU,神,天神
devot.1,GOD,DIEU,神,天神
devot.1,GOD,DIEU,神,天神
devot.24,CHURCH,ÉGLISE,教堂/教会,教堂
devot.24,CHURCH,ÉGLISE,教堂/教会,教堂
devot.11,CLOSE,FERMER,闭,關
devot.7,WARRIOR,GUERRIER,战士,戰士
devot.7,WARRIOR,GUERRIER,战士,戰士
devot.7,WARRIOR,GUERRIER,战士,戰士
devot.7,WARRIOR,GUERRIER,战士,戰士
devot.7,WARRIOR,GUERRIER,战士,戰士
devot.22,UP/GREAT,HAUT,上/伟大,往上/崇高
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.28,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
devot.30,INSTRUMENT,INSTRUMENT,乐器,樂器
devot.25,GARDEN,JARDIN,植物园,植物園
devot.25,GARDEN,JARDIN,植物园,植物園
devot.32,FREE,LIBRE,自由,自由
devot.4,ME,MOI,我,我
devot.4,ME,MOI,我,我
devot.3,DEATH/DEAD,MORT,死/亡/死亡,死亡
devot.3,DEATH/DEAD,MORT,死/亡/死亡,死亡
devot.10,OPEN,OUVRIR,开,開
devot.12,TALK,PARLER,说,說話/交談
devot.12,TALK,PARLER,说,說話/交談
devot.2,NOT,PAS,否定,不/否/非
devot.29,PLANT,PLANTE,植物,植物
devot.29,PLANT,PLANTE,植物,植物
devot.19,DOOR,PORTE,门,門
devot.8,PREACHER,PRÊCHEUR,教士,傳道者
devot.23,GREETINGS,SALUTATIONS,寒暄/告别,你好/再見
devot.5,YOU,TOI,你,你
devot.5,YOU,TOI,你,你
devot.15,FIND,TROUVER,寻/得,找
devot.15,FIND,TROUVER,寻/得,找
devot.21,POT,VASE,罐子,陶罐
devot.14,SEE/LOOK,VOIR/REGARDER,看,看/看見
jardin.parc.2.1,"To play, you like.",Jouer tu aimes.,游乐，你之所爱。,玩，你會喜歡。
jardin.parc.2.2,"To the Theatre, you go!","Au Théâtre, tu vas !",剧场者，你之所往！,劇院，你前往！
jardin.parc.2.3,Greetings.,Salutations.,再见。,再見。
jardin.parc.2.1,"To play, you like.",Jouer tu aimes.,游乐，你之所爱。,玩，你會喜歡。
jardin.parc.2.2,"To the Theatre, you go!","Au Théâtre, tu vas !",剧场者，你之所往！,劇院，你前往！
jardin.parc.2.3,Greetings.,Salutations.,再见。,再見。
jardin.theatre.entree.1,"Comedy, do you like?","La Comédie, aimes-tu ?",喜剧，你爱乎？,滑稽劇，你喜歡？
jardin.theatre.entree.2,"To the Theatre, you go!","Au Théâtre, tu vas !",剧场者，你之所往！,劇院，你前往！
jardin.theatre.entree.2,"To the Theatre, you go!","Au Théâtre, tu vas !",剧场者，你之所往！,劇院，你前往！
jardin.theatre.ascenseur,"To ascend, we want!","Monter, nous voulons !",登升者，我等之所欲！,上升，我們想要！
jardin.avertissement.1.1,Greetings.,Salutations.,你好。,你好。
jardin.avertissement.1.2,"A Warrior, you're not.","Un Guerrier, tu n’es pas.",战士者，你非也。,戰士，你不是。
jardin.avertissement.1.3,"Ascend, do you want?","À monter, cherches-tu ?",登升者，你之所欲耶？,上升，你想要？
jardin.avertissement.2.1,"Ascend, you don't.","Monter, tu ne feras pas.",登升者，你不可。,上升，你不能。
jardin.avertissement.2.2,"The path, you won't find.","Le chemin, tu ne trouveras pas.",道者，非你之可得。,出路，你不會找到。
jardin.avertissement.3.1,"To ascend, we don't want.","À monter, nous ne cherchons pas.",登升者，非我等之所求。,上升，我們不想要。
jardin.avertissement.3.2,"Beauty, we found.","La Beauté, nous avons trouvé.",美，我等之所得。,美景，我們找到。
jardin.avertissement.3.3,"Idiot, ascending is.","Idiot, monter est.",愚者，登升之行是也。,愚者，上升之人乃是。
jardin.defi.1.1,"To ascend, you want?","À monter, cherches-tu ?",登升者，你之所求乎？,上升，你想要？
jardin.defi.1.2,"The path, I have.","Le Chemin, je possède.",道者，我之所有。,出路，我有。
jardin.defi.2.1,"Play, we will!","Jouer, nous allons !",乐者，我等可也！,玩，我們要來！
jardin.defi.2.2,"The windmill, you'll climb.","Le Moulin, tu escaladeras.",风车磨坊，你将登之。,風車，你要攀上。
jardin.defi.2.3,The fire you'll get.,"Le Feu, tu prendras.",火，你将寻之。,火，你會獲得。
jardin.defi.2.4,The path you'll have.,"Le Chemin, tu auras.",道，你将得之。,出路，你會有。
jardin.defi.3.1,"The fire, did you find?","Le Feu, as-tu trouvé ?",火，你得乎？,火，你有找到？
jardin.defi.4.1,"Idiot, you are!","Idiot, tu es !",愚者，你是也！,愚者，你是！
jardin.defi.4.2,"The path, I don't have.","Le Chemin, je n’ai pas !",道者，非我之所有。,出路，我沒有。
jardin.defi.4.3,"Idiot, ascending is!","Idiot, monter est !",愚者，登升之行是也！,愚者，上升之人乃是！
jardin.defi.4.4,Greetings.,Salutations.,再见。,再見。
jardin.theatre.frere.1,"Brothers, we are!","Des frères, nous sommes !",兄弟者，我等是也！,同胞，我們是！
jardin.theatre.frere.2,"My brother, I love!","Mon frère, j’aime !",我兄，我之所爱！,我的同胞，我愛！
jardin.accueil.1,Hello!,Salutations !,你好！,你好！
jardin.accueil.2,"A Warrior, are you?","Un Guerrier, es-tu ?",战士者，你是乎？,戰士，你是？
jardin.accueil.3,"A Warrior, you're not.","Un Guerrier, tu n’es pas.",战士者，你非也。,戰士，你不是。
jardin.accueil.4,"Weapons, Warriors have.","Des armes, les guerriers ont.",兵器，战士之所有。,武器，戰士有。
jardin.accueil.5,"Idiots, Warriors are!","Idiots, les Guerriers sont !",愚人者，战士是也！,愚者，戰士是！
jardin.prairie.boussole.1,"To ascend, you want?","Monter, tu veux ?",登升者，你之所求乎？,上升，你想要？
jardin.prairie.boussole.2,"A compass, do you have?","Une boussole, as-tu ?",罗盘，你有乎？,指南針，你有？
jardin.prairie.idiot.1,"To ascend, you want?","Monter, tu veux ?",登升者，你之所求乎？,上升，你想要？
jardin.prairie.idiot.2,"Idiot, you are!","Idiot, tu es !",愚哉，你是也！,愚者，你是！
jardin.mirroir.1,"Beauty, I love.","La beauté, j’aime.",美，我之所爱。,美景，我愛。
jardin.mirroir.2,"Beauty, I am!","La beauté, je suis !",美者，我是也。,美景，我就是！
jardin.peintre.1,Hello!,Salutations !,你好！,你好！
jardin.peintre.2,"Bards, we are.","Des Bardes, nous sommes.",诗人者，我等是也。,吟遊詩人，我們是。
jardin.peintre.3,"Beauty, we love.","La beauté, nous aimons.",美，我等之所爱。,美景，我們愛。
jardin.peintre.4,"Beauty, do you love?","La beauté, aimes-tu ?",美，你之爱乎？,美景，你愛？
jardin.balcon.1,Greetings.,Salutations.,你好。,你好。
jardin.balcon.2,"Music, we love.","La musique, nous aimons.",音乐，我等之所爱。,音樂，我們愛。
jardin.balcon.3,"An instrument, do you have?","Un instrument, as-tu ?",乐器，你有乎？,樂器，你有？
jardin.monstre,"A monster, I am!","Un monstre, je suis !",怪物者，我是也！,怪物，我是！
jardin.script.1,"To ascend, the Idiot Bard sought.","À monter, le Barde Idiot cherchait.",登升者，愚诗人之所求。,上升，愚者吟遊詩人想要。
jardin.script.2,"The path, the Idiot Bard sought.","Le chemin, le Barde Idiot cherchait.",道者，愚诗人之所寻。,出路，愚者吟遊詩人尋覓。
jardin.script.3,"The saw, he found.","La Scie, il trouva.",锯者，彼之所得。,鋸子，他找到。
jardin.script.4,"West, he went.","Vers l’Ouest, il chemina.",西向，彼往。,西邊，他去往。
jardin.script.5,"The instrument, he found.","L’instrument, il trouva.",乐器者，彼之所得。,樂器，他找到。
jardin.script.6,"North, he went.","Vers le Nord, il chemina.",北向，彼往。,北邊，他去往。
jardin.script.7,"The fire, he found.","Le Feu, il trouva.",火者，彼之所得。,火，他找到。
jardin.script.8,"East, he went.","Vers l’Est, il chemina.",东向，彼往。,東邊，他去往。
jardin.script.9,"The compass, he found.","La Boussole, il trouva.",罗盘，彼之所得。,指南針，他找到。
jardin.script.10,"South, he went.","Vers le Sud, il chemina.",南向，彼往。,南邊，他去往。
jardin.script.11,The weapon he found.,"L’Arme, il trouva.",兵器，彼之所得。,武器，他找到。
jardin.script.12,"West, he went.","Vers l’Ouest, il chemina.",西向，彼往。,西邊，他去往。
jardin.script.13,"The path, the Idiot Bard found.","Le chemin, le Barde Idiot trouva.",道者，愚诗人之所得。,出路，愚者吟遊詩人找到。
jardin.script.14,"The Idiot Bard, the monster found!","Le Barde Idiot, le Monstre trouva !",愚诗人，怪物之所得！,愚者吟遊詩人，怪物找到！
jardin.script.14,"The Idiot Bard, the monster found!","Le Barde Idiot, le Monstre trouva !",愚诗人，怪物之所得！,愚者吟遊詩人，怪物找到！
jardin.boussole.1,Compass mine!,Boussole mienne !,罗盘乃我所有！,指南針，我的！
jardin.boussole.2,Compass mine!,Boussole mienne !,罗盘乃我所有！,指南針，我的！
jardin.boussole.3,"The compass, can you get?","La Boussole, peux-tu chercher ?",罗盘，你可寻乎？,指南針，你能尋覓得？
jardin.marteau.1,"A hammer, I miss!","Un marteau, il me manque !",锤，我未得也！,錘子，我弄丟！
jardin.marteau.2,"A hammer, can you get?","Un marteau, peux-tu chercher ?",锤，你可寻乎？,錘子，你能尋覓得？
jardin.marteau.1,"A hammer, I miss!","Un marteau, il me manque !",锤，我未得也！,錘子，我弄丟！
jardin.marteau.3,Greetings.,Salutations.,你好。,你好。
jardin.marteau.4,"A brother, you are.","Un frère, tu es.",兄弟者，你也。,同胞，你是。
jardin.marteau.5,"Go, you can.","Aller, tu peux.",可去矣，你也。,通行，你可以。
jardin.parc.1.1,"Comedy, do you like?","La comédie, aimes-tu ?",喜剧，你爱乎？,滑稽劇，你喜歡？
jardin.parc.1.2,"Play, you will!","Jouer, tu vas !",游乐，你可也！,玩，你來！
abbaye.bonjour,Hello!,Bonjour !,你好！,你好！
barde.1,ME,MOI,我,我
barde.2,YOU,TOI,你,你
barde.3,MAN/HUMAN,HOMME/HUMAIN,人/凡人/人类,凡人/人類
barde.4,BARD,BARDE,诗人,吟遊詩人
barde.5,WARRIOR,GUERRIER,战士,戰士
barde.6,MONSTER,MONSTRE,怪物,怪物
barde.7,ASCEND,MONTER,攀登/上升,上升
barde.8,PLAY,JOUER,游戏/奏乐,玩/彈奏
barde.9,GO/PASS,ALLER/PASSER,过/走/去/来,前進/通過
barde.10,LOVE/LIKE,AIMER,喜/爱,喜歡/愛
barde.11,CARRY/POSSESS,PORTER/POSSÉDER,携/运/操,拿起/攜帶
barde.12,BE,ÊTRE,是,是
barde.13,SEEK/WANT,CHERCHER/VOULOIR,寻/欲/求,尋覓/想要
barde.14,FIND,TROUVER,寻得/得,找
barde.15,BOOK,LIVRE,书,書本
barde.16,INSTRUMENT,INSTRUMENT,乐器,樂器
barde.17,BEAUTY,BEAUTÉ,美,美景
barde.18,SAW,SCIE,锯,鋸子
barde.19,FIRE,FEU,火,火
barde.20,HAMMER,MARTEAU,锤,錘子
barde.21,PATH,CHEMIN,道路,路徑
barde.22,COMPASS,BOUSSOLE,罗盘,指南針
barde.23,WEAPON,ARME,兵器,武器
barde.24,MUSIC,MUSIQUE,音乐,音樂
barde.25,COMEDY,COMÉDIE,喜剧,滑稽劇
barde.26,BROTHER,FRÈRE,兄/弟/兄弟,同胞
barde.27,PLIERS,PINCE,剪,鉗子
barde.28,IDIOT,IDIOT,愚人,愚者
barde.29,FREE,LIBRE,自由,自由
barde.30,NORTH,NORD,北,北
barde.31,ABBEY,ABBAYE,修院,隱修院
barde.32,EAST,EST,东,東
barde.33,WEST,OUEST,西,西
barde.34,AGORA,AGORA,阿哥拉,市民廣場
barde.35,FORTRESS,FORTERESSE,城堡,要塞
barde.36,SOUTH,SUD,南,南
barde.37,THEATRE,THÉÂTRE,剧场,劇院
barde.38,WINDMILL,MOULIN,风车磨坊,風車
barde.39,GREETINGS,SALUTATIONS,寒暄/告别,你好/再見
barde.40,PLURAL,PLURIEL,复数,（們）
barde.41,QUESTION,QUESTION,疑问,問號
barde.42,NOT,PAS,否定,不/否/非
fort.tapisserie.appel,The Call,L’appel,召唤,召喚
fort.tapisserie.appel,The Call,L’appel,召唤,召喚
fort.tapisserie.devoir,The Duty,Le Devoir,天责,天職
fort.tapisserie.elus,The Chosen Ones,Les Élus,神选之人,天選者
fort.tapisserie.elus,The Chosen Ones,Les Élus,神选之人,天選者
fort.tapisserie.forteresse,The Warriors building the Fortress.,Les Guerriers construisant la Forteresse.,战士筑城堡。,戰士建造要塞。
fort.tapisserie.forteresse,The Warriors building the Fortress.,Les Guerriers construisant la Forteresse.,战士筑城堡。,戰士建造要塞。
fort.tapisserie.impurs,The Impure Ones,Les Impurs,不洁之人,不潔者
fort.graffiti,Bellman loves the bottle!,Le Sonneur aime la bouteille !,撞钟人喜瓶！,敲鐘人愛酒瓶！
fort.statue.elu.1,The Warrior carries a weapon.,Le Guerrier porte une arme.,战士操兵器。,戰士攜帶武器。
fort.statue.elu.2,The Warrior does not fear death.,Le Guerrier ne craint pas la Mort.,战士不惧死亡。,戰士們無懼死亡。
fort.statue.elu.3,The Chosen carries an instrument.,L’Élu porte un instrument.,神选之人操乐器。,天選者攜帶樂器。
fort.plateforme,The instrument creates the music.,L’instrument crée la musique.,乐器作音乐。,樂器創造音樂。
fort.plateforme,The instrument creates the music.,L’instrument crée la musique.,乐器作音乐。,樂器創造音樂。
fort.elus,Chosen Ones,Élus,神选之人,天選者
fort.elus,Chosen Ones,Élus,神选之人,天選者
fort.elus,Chosen Ones,Élus,神选之人,天選者
fort.specialiste.pierre,The Scientists [unreadable],Les Scientifiques [illisible],学者[看不到字符],科學家們 [無法辨識]
rosette.devot.guerrier.2.1,'[unreadable] searches [unreadable]','[illisible] cherche [illisible]','[看不到字符]寻[看不到字符]','[無法辨識] 尋覓 [無法辨識]'
rosette.devot.guerrier.2.2,'[unreadable] to help [unreadable]','[illisible] pour aider [illisible]','[看不到字符]助[看不到字符]','[無法辨識] 幫助 [無法辨識]'
rosette.guerrier.devot.2.1,The Scientist searches [unreadable],Le Scientifique cherche [illisible],学者寻[看不到字符],科學家 尋覓 [無法辨識]
rosette.guerrier.devot.2.2,'[unreadable] to help [unreadable]','[illisible] pour aider [illisible]','[看不到字符]助[看不到字符]','[無法辨識] 幫助 [無法辨識]'
rosette.devot.guerrier.1,Warriors don't like death.,Les guerriers n’aiment pas la mort.,战士不喜死亡。,戰士不喜歡死亡。
rosette.devot.guerrier.2,Death loves Warriors.,La mort aime les guerriers.,死亡爱战士。,死亡愛戰士。
rosette.devot.guerrier.1,Warriors don't like death.,Les guerriers n’aiment pas la mort.,战士不喜死亡。,戰士不喜歡死亡。
rosette.devot.guerrier.2,Death loves Warriors.,La mort aime les guerriers.,死亡爱战士。,死亡愛戰士。
fort.grimoire.elus,Call of the Chosen Ones,L’appel des Élus,神选之人之召唤,天選者召喚
fort.grimoire.elus.seq,"BALANCE, INSTRUMENT, KEY, VESSEL, KEY","BALANCE, INSTRUMENT, CLÉ, VAISSEAU, CLÉ",天平、乐器、钥匙、船、钥匙,天平，樂器，鑰匙，船隻，鑰匙
fort.grimoire.devoir,Call of Duty,L’appel du Devoir,天责之召唤,天職召喚
fort.grimoire.devoir.seq,"KEY, VESSEL, BALANCE, INSTRUMENT,VESSEL","CLÉ, VAISSEAU, BALANCE, INSTRUMENT,VAISSEAU",钥匙、船、天平、乐器、船,鑰匙，船隻，天平，樂器，船隻
fort.grimoire.lune,Call of the Moon,L’appel de la Lune,月之召唤,月之召喚
fort.grimoire.lune.seq,"INSTRUMENT, INSTRUMENT, KEY, BALANCE, VESSEL","INSTRUMENT, INSTRUMENT, CLÉ, BALANCE, VAISSEAU",乐器、乐器、钥匙、天平、船,樂器，樂器，鑰匙，天平，船隻
fort.grimoire.soleil,Call of the Sun,L’appel du Soleil,日之召唤,日之召喚
fort.grimoire.soleil.seq,"VESSEL, BALANCE, BALANCE, INSTRUMENT, INSTRUMENT","VAISSEAU, BALANCE, BALANCE, INSTRUMENT, INSTRUMENT",船、天平、天平、乐器、乐器,船隻，天平，天平，樂器，樂器
fort.statue.porter,The Warrior carries the Duty.,Le Guerrier porte le Devoir.,战士身负天责。,戰士肩負天職。
fort.statue.porter,The Warrior carries the Duty.,Le Guerrier porte le Devoir.,战士身负天责。,戰士肩負天職。
fort.statue.pousser,The Warrior pushes back the Impure.,Le Guerrier repousse l’Impur.,战士拒不洁之人。,戰士擊退不潔者。
